n1|n2|prop
dbpedia.SportsLeague|dbpedia.Organisation|is-a
dbpedia.NaturalEvent|dbpedia.Event|is-a
dbpedia.Event|owl.Thing|is-a
dbpedia.Province|dbpedia.GovernmentalAdministrativeRegion|is-a
dbpedia.GovernmentalAdministrativeRegion|dbpedia.AdministrativeRegion|is-a
dbpedia.Crater|dbpedia.NaturalPlace|is-a
dbpedia.SportsSeason|owl.Thing|is-a
dbpedia.Person|dbpedia.Agent|is-a
dbpedia.TimePeriod|owl.Thing|is-a
dbpedia.Engine|dbpedia.Device|is-a
dbpedia.Biomolecule|owl.Thing|is-a
dbpedia.Writer|dbpedia.Person|is-a
dbpedia.ArchitecturalStructure|dbpedia.Place|is-a
dbpedia.EducationalInstitution|dbpedia.Organisation|is-a
dbpedia.AnatomicalStructure|owl.Thing|is-a
dbpedia.Work|owl.Thing|is-a
dbpedia.Infrastructure|dbpedia.ArchitecturalStructure|is-a
dbpedia.Territory|dbpedia.PopulatedPlace|is-a
dbpedia.PopulatedPlace|dbpedia.Place|is-a
dbpedia.SocietalEvent|dbpedia.Event|is-a
dbpedia.TopicalConcept|owl.Thing|is-a
dbpedia.RaceTrack|dbpedia.SportFacility|is-a
dbpedia.Artist|dbpedia.Person|is-a
dbpedia.WinterSportPlayer|dbpedia.Athlete|is-a
dbpedia.Organisation|dbpedia.Agent|is-a
dbpedia.SportsEvent|dbpedia.SocietalEvent|is-a
dbpedia.GeneLocation|owl.Thing|is-a
dbpedia.WrittenWork|dbpedia.Work|is-a
dbpedia.Beverage|dbpedia.Food|is-a
dbpedia.Food|owl.Thing|is-a
dbpedia.MeanOfTransportation|owl.Thing|is-a
dbpedia.Building|dbpedia.ArchitecturalStructure|is-a
dbpedia.Species|owl.Thing|is-a
dbpedia.Athlete|dbpedia.Person|is-a
dbpedia.Animal|dbpedia.Eukaryote|is-a
dbpedia.Department|dbpedia.GovernmentalAdministrativeRegion|is-a
dbpedia.Place|owl.Thing|is-a
dbpedia.SportsTeam|dbpedia.Organisation|is-a
dbpedia.AmusementParkAttraction|dbpedia.ArchitecturalStructure|is-a
dbpedia.Genre|dbpedia.TopicalConcept|is-a
dbpedia.FloweringPlant|dbpedia.Plant|is-a
dbpedia.Plant|dbpedia.Eukaryote|is-a
dbpedia.BritishRoyalty|dbpedia.Royalty|is-a
dbpedia.SportCompetitionResult|owl.Thing|is-a
dbpedia.Tower|dbpedia.ArchitecturalStructure|is-a
dbpedia.Cleric|dbpedia.Person|is-a
dbpedia.Type|dbpedia.TopicalConcept|is-a
dbpedia.Settlement|dbpedia.PopulatedPlace|is-a
dbpedia.ReligiousBuilding|dbpedia.Building|is-a
dbpedia.MotorcycleRider|dbpedia.MotorsportRacer|is-a
dbpedia.MotorsportRacer|dbpedia.Athlete|is-a
dbpedia.ClericalAdministrativeRegion|dbpedia.AdministrativeRegion|is-a
dbpedia.AdministrativeRegion|dbpedia.Region|is-a
dbpedia.Company|dbpedia.Organisation|is-a
dbpedia.PowerStation|dbpedia.Infrastructure|is-a
dbpedia.PersonalEvent|dbpedia.LifeCycleEvent|is-a
dbpedia.Name|owl.Thing|is-a
dbpedia.Wrestler|dbpedia.Athlete|is-a
dbpedia.RacingDriver|dbpedia.MotorsportRacer|is-a
dbpedia.Instrumentalist|dbpedia.MusicalArtist|is-a
dbpedia.MusicalArtist|dbpedia.Artist|is-a
dbpedia.SportFacility|dbpedia.ArchitecturalStructure|is-a
dbpedia.District|dbpedia.GovernmentalAdministrativeRegion|is-a
dbpedia.Tournament|dbpedia.SportsEvent|is-a
dbpedia.Activity|owl.Thing|is-a
dbpedia.Actor|dbpedia.Artist|is-a
dbpedia.GridironFootballPlayer|dbpedia.Athlete|is-a
dbpedia.Device|owl.Thing|is-a
dbpedia.TheologicalConcept|dbpedia.TopicalConcept|is-a
dbpedia.MusicalWork|dbpedia.Work|is-a
dbpedia.RouteOfTransportation|dbpedia.Infrastructure|is-a
dbpedia.Mill|dbpedia.ArchitecturalStructure|is-a
dbpedia.Coach|dbpedia.Person|is-a
dbpedia.City|dbpedia.Settlement|is-a
dbpedia.Software|dbpedia.Work|is-a
dbpedia.Wine|dbpedia.Beverage|is-a
dbpedia.Politician|dbpedia.Person|is-a
dbpedia.Mine|dbpedia.Place|is-a
dbpedia.Camera|dbpedia.Device|is-a
dbpedia.Group|dbpedia.Organisation|is-a
dbpedia.Country|dbpedia.PopulatedPlace|is-a
dbpedia.Race|dbpedia.SportsEvent|is-a
dbpedia.PeriodicalLiterature|dbpedia.WrittenWork|is-a
dbpedia.CelestialBody|dbpedia.Place|is-a
dbpedia.Comic|dbpedia.WrittenWork|is-a
dbpedia.OrganisationMember|dbpedia.Person|is-a
dbpedia.Case|dbpedia.UnitOfWork|is-a
dbpedia.UnitOfWork|owl.Thing|is-a
dbpedia.BodyOfWater|dbpedia.NaturalPlace|is-a
dbpedia.Boxer|dbpedia.Athlete|is-a
dbpedia.FictionalCharacter|dbpedia.Person|is-a
dbpedia.Island|dbpedia.PopulatedPlace|is-a
dbpedia.Swarm|dbpedia.CelestialBody|is-a
dbpedia.NaturalPlace|dbpedia.Place|is-a
dbpedia.Monument|dbpedia.Place|is-a
dbpedia.Gene|dbpedia.Biomolecule|is-a
dbpedia.Stream|dbpedia.BodyOfWater|is-a
dbpedia.Non-ProfitOrganisation|dbpedia.Organisation|is-a
dbpedia.SportsManager|dbpedia.Person|is-a
dbpedia.Database|dbpedia.Work|is-a
dbpedia.LegalCase|dbpedia.Case|is-a
dbpedia.Broadcaster|dbpedia.Organisation|is-a
dbpedia.TelevisionPersonality|dbpedia.Person|is-a
dbpedia.Artwork|dbpedia.Work|is-a
dbpedia.VolleyballPlayer|dbpedia.Athlete|is-a
dbpedia.Region|dbpedia.PopulatedPlace|is-a
dbpedia.Novel|dbpedia.Book|is-a
dbpedia.SnookerPlayer|dbpedia.Athlete|is-a
dbpedia.PersonFunction|owl.Thing|is-a
dbpedia.Scientist|dbpedia.Person|is-a
dbpedia.Presenter|dbpedia.Person|is-a
dbpedia.ChemicalSubstance|owl.Thing|is-a
dbpedia.SportsTeamSeason|dbpedia.SportsSeason|is-a
dbpedia.Annotation|dbpedia.WrittenWork|is-a
dbpedia.Satellite|dbpedia.CelestialBody|is-a
dbpedia.SoccerClub|dbpedia.SportsTeam|is-a
dbpedia.Horse|dbpedia.Mammal|is-a
dbpedia.Mammal|dbpedia.Animal|is-a
dbpedia.Eukaryote|dbpedia.Species|is-a
dbpedia.SkiArea|dbpedia.SportFacility|is-a
dbpedia.Instrument|dbpedia.Device|is-a
dbpedia.On-SiteTransportation|dbpedia.MeanOfTransportation|is-a
dbpedia.Venue|dbpedia.ArchitecturalStructure|is-a
dbpedia.Royalty|dbpedia.Person|is-a
dbpedia.Family|dbpedia.Agent|is-a
dbpedia.Agent|owl.Thing|is-a
dbpedia.Sport|dbpedia.Activity|is-a
dbpedia.Station|dbpedia.Infrastructure|is-a
dbpedia.Olympics|dbpedia.SportsEvent|is-a
dbpedia.Song|dbpedia.MusicalWork|is-a
dbpedia.SportsClub|dbpedia.Organisation|is-a
dbpedia.Document|dbpedia.Work|is-a
dbpedia.Cartoon|dbpedia.Work|is-a
dbpedia.Book|dbpedia.WrittenWork|is-a
