n1|n2|prop
oboInOwl.ObsoleteClass|owl.Thing|is-a
GO.GO_0048308|GO.GO_0006996|is-a
GO.GO_0048311|GO.GO_0007005|is-a
GO.GO_0000002|GO.GO_0007005|is-a
GO.GO_0007005|GO.GO_0006996|is-a
GO.GO_0000003|GO.GO_0008150|is-a
GO.GO_0008150|owl.Thing|is-a
GO.GO_0005385|GO.GO_0046915|is-a
GO.GO_0015036|GO.GO_0016667|is-a
GO.GO_0000009|GO.GO_0000030|is-a
GO.GO_0000030|GO.GO_0016758|is-a
GO.GO_0016765|GO.GO_0016740|is-a
GO.GO_0007033|GO.GO_0006996|is-a
GO.GO_0000012|GO.GO_0006281|is-a
GO.GO_0006281|GO.GO_0006259|is-a
GO.GO_0000014|GO.GO_0004520|is-a
GO.GO_0004520|GO.GO_0004519|is-a
GO.GO_0044445|GO.GO_0044444|is-a
GO.GO_1902494|GO.GO_0032991|is-a
GO.GO_0004553|GO.GO_0016798|is-a
GO.GO_0042946|GO.GO_1901656|is-a
GO.GO_0000018|GO.GO_0051052|is-a
GO.GO_0051052|GO.GO_0019219|is-a
GO.GO_0006310|GO.GO_0006259|is-a
GO.GO_0000019|GO.GO_0000018|is-a
GO.GO_0006312|GO.GO_0006310|is-a
GO.GO_0045950|GO.GO_0000019|is-a
GO.GO_0051231|GO.GO_0007017|is-a
GO.GO_1903047|GO.GO_0022402|is-a
GO.GO_0007052|GO.GO_0007051|is-a
GO.GO_0000023|GO.GO_0005984|is-a
GO.GO_0005984|GO.GO_0009311|is-a
GO.GO_0046351|GO.GO_0005984|is-a
GO.GO_0046352|GO.GO_0005984|is-a
GO.GO_0000026|GO.GO_0000030|is-a
GO.GO_0000027|GO.GO_0022618|is-a
GO.GO_0022618|GO.GO_0034622|is-a
GO.GO_0042255|GO.GO_0022618|is-a
GO.GO_0016758|GO.GO_0016757|is-a
GO.GO_0016740|GO.GO_0003824|is-a
GO.GO_0006057|GO.GO_0006056|is-a
GO.GO_0031506|GO.GO_0009101|is-a
GO.GO_0000033|GO.GO_0000030|is-a
GO.GO_0016814|GO.GO_0016810|is-a
GO.GO_0019239|GO.GO_0016787|is-a
GO.GO_0005488|GO.GO_0003674|is-a
GO.GO_0000036|GO.GO_0044620|is-a
GO.GO_0044620|GO.GO_0051192|is-a
GO.GO_0140104|GO.GO_0003674|is-a
GO.GO_0000038|GO.GO_0006631|is-a
GO.GO_0006631|GO.GO_0032787|is-a
GO.GO_0005324|GO.GO_0005319|is-a
GO.GO_0005886|GO.GO_0016020|is-a
GO.GO_0000041|GO.GO_0030001|is-a
GO.GO_0030001|GO.GO_0006812|is-a
GO.GO_0070925|GO.GO_0006996|is-a
GO.GO_1905037|GO.GO_0007033|is-a
GO.GO_0009055|GO.GO_0016491|is-a
GO.GO_0016755|GO.GO_0016746|is-a
GO.GO_0000049|GO.GO_0003723|is-a
GO.GO_0003723|GO.GO_0003676|is-a
GO.GO_0019627|GO.GO_0043603|is-a
GO.GO_0043604|GO.GO_0043603|is-a
GO.GO_1901566|GO.GO_1901564|is-a
GO.GO_0000052|GO.GO_1901605|is-a
GO.GO_1901605|GO.GO_0006520|is-a
GO.GO_0006575|GO.GO_0044237|is-a
GO.GO_0072350|GO.GO_0019752|is-a
GO.GO_0000054|GO.GO_0033750|is-a
GO.GO_0033750|GO.GO_0008104|is-a
GO.GO_0051656|GO.GO_0051234|is-a
GO.GO_0071428|GO.GO_0071426|is-a
