n1|n2|prop
pizza.Pizza|pizza.Food|is-a
pizza.PizzaBase|pizza.Food|is-a
pizza.Food|pizza.DomainConcept|is-a
pizza.Spiciness|pizza.ValuePartition|is-a
pizza.PizzaTopping|pizza.Food|is-a
pizza.NamedPizza|pizza.Pizza|is-a
pizza.TomatoTopping|pizza.VegetableTopping|is-a
pizza.FishTopping|pizza.PizzaTopping|is-a
pizza.VegetableTopping|pizza.PizzaTopping|is-a
pizza.OnionTopping|pizza.VegetableTopping|is-a
pizza.HerbSpiceTopping|pizza.PizzaTopping|is-a
pizza.HamTopping|pizza.MeatTopping|is-a
pizza.CheeseTopping|pizza.PizzaTopping|is-a
pizza.MeatTopping|pizza.PizzaTopping|is-a
pizza.DomainConcept|owl.Thing|is-a
pizza.ValuePartition|owl.Thing|is-a
pizza.FruitTopping|pizza.PizzaTopping|is-a
pizza.GreenPepperTopping|pizza.PepperTopping|is-a
pizza.PepperTopping|pizza.VegetableTopping|is-a
pizza.NutTopping|pizza.PizzaTopping|is-a
pizza.SauceTopping|pizza.PizzaTopping|is-a
pizza.UnclosedPizza|pizza.Pizza|is-a
pizza.DeepPanBase|pizza.PizzaBase|is-a
pizza.ThinAndCrispyBase|pizza.PizzaBase|is-a
pizza.IceCream|pizza.Food|is-a
pizza.Mild|pizza.Spiciness|is-a
pizza.Hot|pizza.Spiciness|is-a
pizza.Medium|pizza.Spiciness|is-a
pizza.American|pizza.NamedPizza|is-a
pizza.AmericanHot|pizza.NamedPizza|is-a
pizza.Cajun|pizza.NamedPizza|is-a
pizza.Capricciosa|pizza.NamedPizza|is-a
pizza.Caprina|pizza.NamedPizza|is-a
pizza.Fiorentina|pizza.NamedPizza|is-a
pizza.FourSeasons|pizza.NamedPizza|is-a
pizza.FruttiDiMare|pizza.NamedPizza|is-a
pizza.Giardiniera|pizza.NamedPizza|is-a
pizza.LaReine|pizza.NamedPizza|is-a
pizza.Margherita|pizza.NamedPizza|is-a
pizza.Mushroom|pizza.NamedPizza|is-a
pizza.Napoletana|pizza.NamedPizza|is-a
pizza.Parmense|pizza.NamedPizza|is-a
pizza.PolloAdAstra|pizza.NamedPizza|is-a
pizza.PrinceCarlo|pizza.NamedPizza|is-a
pizza.QuattroFormaggi|pizza.NamedPizza|is-a
pizza.Rosa|pizza.NamedPizza|is-a
pizza.Siciliana|pizza.NamedPizza|is-a
pizza.SloppyGiuseppe|pizza.NamedPizza|is-a
pizza.Soho|pizza.NamedPizza|is-a
pizza.Veneziana|pizza.NamedPizza|is-a
pizza.SundriedTomatoTopping|pizza.TomatoTopping|is-a
pizza.SlicedTomatoTopping|pizza.TomatoTopping|is-a
pizza.AnchoviesTopping|pizza.FishTopping|is-a
pizza.PrawnsTopping|pizza.FishTopping|is-a
pizza.MixedSeafoodTopping|pizza.FishTopping|is-a
pizza.ArtichokeTopping|pizza.VegetableTopping|is-a
pizza.AsparagusTopping|pizza.VegetableTopping|is-a
pizza.CaperTopping|pizza.VegetableTopping|is-a
pizza.OliveTopping|pizza.VegetableTopping|is-a
pizza.CheeseyVegetableTopping|pizza.VegetableTopping|is-a
pizza.GarlicTopping|pizza.VegetableTopping|is-a
pizza.SpinachTopping|pizza.VegetableTopping|is-a
pizza.MushroomTopping|pizza.VegetableTopping|is-a
pizza.LeekTopping|pizza.VegetableTopping|is-a
pizza.PetitPoisTopping|pizza.VegetableTopping|is-a
pizza.RocketTopping|pizza.VegetableTopping|is-a
pizza.RedOnionTopping|pizza.OnionTopping|is-a
pizza.CajunSpiceTopping|pizza.HerbSpiceTopping|is-a
pizza.RosemaryTopping|pizza.HerbSpiceTopping|is-a
pizza.ParmaHamTopping|pizza.HamTopping|is-a
pizza.MozzarellaTopping|pizza.CheeseTopping|is-a
pizza.GoatsCheeseTopping|pizza.CheeseTopping|is-a
pizza.CheeseyVegetableTopping|pizza.CheeseTopping|is-a
pizza.ParmesanTopping|pizza.CheeseTopping|is-a
pizza.FourCheesesTopping|pizza.CheeseTopping|is-a
pizza.GorgonzolaTopping|pizza.CheeseTopping|is-a
pizza.PeperoniSausageTopping|pizza.MeatTopping|is-a
pizza.ChickenTopping|pizza.MeatTopping|is-a
pizza.HotSpicedBeefTopping|pizza.MeatTopping|is-a
pizza.SultanaTopping|pizza.FruitTopping|is-a
pizza.HotGreenPepperTopping|pizza.GreenPepperTopping|is-a
pizza.JalapenoPepperTopping|pizza.PepperTopping|is-a
pizza.PeperonataTopping|pizza.PepperTopping|is-a
pizza.SweetPepperTopping|pizza.PepperTopping|is-a
pizza.PineKernels|pizza.NutTopping|is-a
pizza.TobascoPepperSauce|pizza.SauceTopping|is-a
