n1|n2|prop
obo.BFO_0000001|owl.Thing|is-a
obo.BFO_0000002|obo.BFO_0000001|is-a
obo.BFO_0000003|obo.BFO_0000001|is-a
obo.BFO_0000004|obo.BFO_0000002|is-a
obo.BFO_0000006|obo.BFO_0000141|is-a
obo.BFO_0000008|obo.BFO_0000003|is-a
obo.BFO_0000015|obo.BFO_0000003|is-a
obo.BFO_0000016|obo.BFO_0000017|is-a
obo.BFO_0000017|obo.BFO_0000020|is-a
obo.BFO_0000019|obo.BFO_0000020|is-a
obo.BFO_0000020|obo.BFO_0000002|is-a
obo.BFO_0000024|obo.BFO_0000040|is-a
obo.BFO_0000029|obo.BFO_0000141|is-a
obo.BFO_0000030|obo.BFO_0000040|is-a
obo.BFO_0000031|obo.BFO_0000002|is-a
obo.BFO_0000035|obo.BFO_0000003|is-a
obo.BFO_0000040|obo.BFO_0000004|is-a
obo.BFO_0000140|obo.BFO_0000141|is-a
obo.BFO_0000141|obo.BFO_0000004|is-a
obo.IAO_0000027|obo.IAO_0000030|is-a
obo.IAO_0000030|obo.BFO_0000031|is-a
obo.IAO_0000102|obo.IAO_0000027|is-a
obo.OGMS_0000014|obo.IAO_0000027|is-a
obo.OGMS_0000020|obo.BFO_0000001|is-a
obo.OGMS_0000022|obo.BFO_0000019|is-a
obo.OGMS_0000023|obo.BFO_0000019|is-a
obo.OGMS_0000024|obo.BFO_0000001|is-a
obo.OGMS_0000030|obo.BFO_0000016|is-a
obo.OGMS_0000031|obo.BFO_0000016|is-a
obo.OGMS_0000032|obo.BFO_0000016|is-a
obo.OGMS_0000039|obo.BFO_0000019|is-a
obo.OGMS_0000045|obo.BFO_0000040|is-a
obo.OGMS_0000047|obo.OGMS_0000045|is-a
obo.OGMS_0000060|obo.BFO_0000015|is-a
obo.OGMS_0000061|obo.OGMS_0000060|is-a
obo.OGMS_0000063|obo.BFO_0000015|is-a
obo.OGMS_0000096|obo.BFO_0000015|is-a
obo.OGMS_0000097|obo.OGMS_0000096|is-a
ogms.SCTO_00000000|obo.IAO_0000030|is-a
ogms.SCTO_106237007|ogms.SCTO_138875005|is-a
ogms.SCTO_118956008|ogms.SCTO_123037004|is-a
ogms.SCTO_123037004|obo.BFO_0000024|is-a
ogms.SCTO_129264002_2|obo.BFO_0000015|is-a
ogms.SCTO_138875005|ogms.SCTO_00000000|is-a
ogms.SCTO_182353008|ogms.SCTO_272424004|is-a
ogms.SCTO_24028007|ogms.SCTO_182353008|is-a
ogms.SCTO_246061005|ogms.SCTO_106237007|is-a
ogms.SCTO_258349007|ogms.SCTO_264752007|is-a
ogms.SCTO_260787004|obo.BFO_0000030|is-a
ogms.SCTO_264752007|ogms.SCTO_272396007|is-a
ogms.SCTO_272099008|ogms.SCTO_362981000|is-a
ogms.SCTO_272103003|ogms.SCTO_272099008|is-a
ogms.SCTO_272126005|ogms.SCTO_272103003|is-a
ogms.SCTO_272127001|ogms.SCTO_272126005|is-a
ogms.SCTO_272396007|ogms.SCTO_362981000|is-a
ogms.SCTO_272424004|ogms.SCTO_309825002|is-a
ogms.SCTO_277302009|ogms.SCTO_272099008|is-a
ogms.SCTO_277367001|ogms.SCTO_277302009|is-a
ogms.SCTO_281586009|ogms.SCTO_362981000|is-a
ogms.SCTO_303102005|ogms.SCTO_281586009|is-a
ogms.SCTO_307142001|ogms.SCTO_303102005|is-a
ogms.SCTO_308489006|ogms.SCTO_303102005|is-a
ogms.SCTO_309825002|ogms.SCTO_362981000|is-a
ogms.SCTO_362981000|obo.BFO_0000031|is-a
ogms.SCTO_363704007|ogms.SCTO_410662002|is-a
ogms.SCTO_399455000|ogms.SCTO_277367001|is-a
ogms.SCTO_405815000|ogms.SCTO_410662002|is-a
ogms.SCTO_405816004|ogms.SCTO_410662002|is-a
ogms.SCTO_410662002|ogms.SCTO_246061005|is-a
ogms.SCTO_424226004|ogms.SCTO_405815000|is-a
ogms.SCTO_442083009|ogms.SCTO_123037004|is-a
ogms.SCTO_47429007|ogms.SCTO_410662002|is-a
ogms.SCTO_71388002|obo.BFO_0000015|is-a
snomed.SCTO_129284003|ogms.SCTO_129264002_2|is-a
snomed.SCTO_129300006|ogms.SCTO_129264002_2|is-a
snomed.SCTO_129325002|ogms.SCTO_129264002_2|is-a
snomed.SCTO_129347002|snomed.SCTO_410820007|is-a
snomed.SCTO_129371009|snomed.SCTO_129284003|is-a
snomed.SCTO_129407005|snomed.SCTO_425362007|is-a
snomed.SCTO_257867005|snomed.SCTO_129325002|is-a
snomed.SCTO_288529006|ogms.SCTO_362981000|is-a
snomed.SCTO_288532009|snomed.SCTO_288529006|is-a
snomed.SCTO_410510008|snomed.SCTO_288529006|is-a
snomed.SCTO_410511007|snomed.SCTO_410510008|is-a
snomed.SCTO_410514004|snomed.SCTO_288529006|is-a
snomed.SCTO_410820007|snomed.SCTO_129407005|is-a
snomed.SCTO_419988009|ogms.SCTO_129264002_2|is-a
snomed.SCTO_425362007|snomed.SCTO_257867005|is-a
snomed.SCTO_7389001|ogms.SCTO_362981000|is-a
obo.BFO_0000011|obo.BFO_0000003|is-a
obo.BFO_0000009|obo.BFO_0000006|is-a
obo.BFO_0000018|obo.BFO_0000006|is-a
obo.BFO_0000026|obo.BFO_0000006|is-a
obo.BFO_0000028|obo.BFO_0000006|is-a
ogms.SCTO_223496003|obo.BFO_0000006|is-a
obo.BFO_0000038|obo.BFO_0000008|is-a
obo.BFO_0000148|obo.BFO_0000008|is-a
obo.BFO_0000144|obo.BFO_0000015|is-a
obo.BFO_0000182|obo.BFO_0000015|is-a
obo.OBI_0000011|obo.BFO_0000015|is-a
obo.OGMS_0000055|obo.BFO_0000015|is-a
obo.OGMS_0000056|obo.BFO_0000015|is-a
obo.OGMS_0000057|obo.BFO_0000015|is-a
obo.OGMS_0000059|obo.BFO_0000015|is-a
obo.OGMS_0000090|obo.BFO_0000015|is-a
obo.OGMS_0000091|obo.BFO_0000015|is-a
obo.OGMS_0000092|obo.BFO_0000015|is-a
obo.OGMS_0000095|obo.BFO_0000015|is-a
obo.OGMS_0000103|obo.BFO_0000015|is-a
obo.OGMS_0000104|obo.BFO_0000015|is-a
