n1|n2|prop
wine#.Wine|food.PotableLiquid|is-a
wine#.Bordeaux|owl.Thing|is-a
wine#.WineDescriptor|owl.Thing|is-a
wine#.WineTaste|wine#.WineDescriptor|is-a
wine#.DessertWine|wine#.Wine|is-a
wine#.LateHarvest|wine#.Wine|is-a
wine#.RedWine|owl.Thing|is-a
wine#.ItalianWine|owl.Thing|is-a
wine#.EarlyHarvest|wine#.Wine|is-a
wine#.Sauternes|wine#.Bordeaux|is-a
wine#.WineColor|wine#.WineDescriptor|is-a
wine#.WineSugar|wine#.WineTaste|is-a
wine#.WineBody|wine#.WineTaste|is-a
wine#.WineFlavor|wine#.WineTaste|is-a
wine#.SweetRiesling|wine#.DessertWine|is-a
wine#.Sauternes|wine#.LateHarvest|is-a
wine#.Port|wine#.RedWine|is-a
wine#.Chianti|wine#.ItalianWine|is-a
